isin,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_variable,ratio_other,ratio_pension,vpi,ratio_stock_in_equity,ratio_option_in_equity,log_tc_pe,salary_bt_pe,one_year_bonus_bt_pe,multi_year_bonus_bt_pe,total_equity_grants_bt_pe,stock_grants_bt_pe,option_grants_bt_pe,other_annual_bt_pe,total_comp_bt_pe,one_time_payment_bt_pe,pension_bt_pe,total_comp_pens_and_one_time_bt_pe,n_executives_median,index_score,ever_opted_out,year_count,year_min,year_max,company_shortname,company_name,index_listing_last,data_confidence
DE0006602006,0.46397969144463347,0.24402905775664313,0.0026059442447823144,0.08065397833734587,0.509880643596134,0.03034366679103967,0.14892674297947522,1.086274378647432,1.0,0.0,7.338319588277852,706.0750250000001,393.92274999999995,3.2914285714285714,109.04095000000001,109.04095000000001,0.0,37.68985416666666,1537.339075,0.0,254.93961666666667,1908.3196333333333,4.0,0.0,0,16,2006,2021,GEA Group,GEA Group AG,MDAX,high
DE0006605009,0.7023977433004231,0.20451339915373765,0.0,0.0,0.20451339915373765,0.0930888575458392,0.5416078984485191,0.29116465863453816,0.0,0.0,5.469465622743866,166.0,48.333333333333336,0.0,0.0,0.0,0.0,22.0,236.33333333333334,0.0,128.0,364.3333333333333,3.0,0.0,0,1,2006,2006,Medion,MEDION AG,MDAX,very_low
DE0006632003,0.2570087812654163,0.1745677972921646,0.0,0.5417874994919811,0.7163552967841458,0.03268390112404041,0.06220518613929083,2.803445067900432,0.5994559667110276,0.4005440332889724,7.311844454508038,375.4276,261.05565,0.0,752.2207000000001,352.76121666666666,294.523225,39.810275000000004,1497.0641,250.0,78.5619,1840.30975,5.0,0.0,0,4,2017,2020,Morphosys,Morphosys AG,MDAX,low
DE0006764749,0.4747457242385869,0.4475447554822724,0.0,0.06581247647795097,0.525254275761413,0.0,0.0,1.1063907454960937,0.0,1.0,6.730779408512935,420.0,373.4266,0.0,64.84,0.0,64.84,0.0,836.8,0.0,0.0,971.5894000000001,5.0,0.0,0,5,2006,2010,Pfleiderer,Pfleiderer AG,MDAX,low
DE0006766504,0.3881226622559507,0.2934254840030218,0.21655921956445418,0.010014703379943285,0.5961781251025465,0.021114397454253586,0.21754191110404403,1.5360763197900498,0.5,0.0,6.71277275968556,359.45,265.68765,167.968875,7.8628,0.0,0.0,19.1781,822.7067999999999,0.0,192.36435,1062.7141000000001,4.5,0.0,1,16,2006,2021,Aurubis,Aurubis AG,MDAX,high
DE0006969603,0.32400225154107004,0.2727272727272727,0.0,0.4090298707981016,0.6759974738807506,0.0,0.0,2.0863974576271183,0.5,0.0,7.8654419206556625,700.0,866.6666666666666,0.0,938.4,0.0,0.0,0.0,2604.6616666666664,0.0,0.0,2604.6616666666664,5.0,0.0,1,13,2006,2021,Puma,Puma SE,DAX and MDAX,high
DE0007010803,0.5581395348837209,0.4418604651162791,0.0,0.0,0.4418604651162791,0.0,0.08670520231213873,0.7916666666666666,0.0,0.0,6.843216757844566,516.6666666666666,456.5,0.0,0.0,0.0,0.0,0.0,936.5,0.0,75.0,1075.0,4.0,0.0,1,13,2006,2021,Rational,Rational AG,MDAX,high
DE0007030009,0.2963293309068028,0.3645510894907231,0.17047337675323584,0.16417086850609258,0.6976134564290416,0.01012375679168694,0.20422879671575056,2.3541522180120182,1.0,0.0,7.601565873396089,601.8333333333333,807.0416666666667,321.75,334.20833333333337,334.20833333333337,0.0,24.375,2000.4166666666665,0.0,403.33333333333337,2278.833333333333,3.0,0.0,0,16,2006,2021,Rheinmetall,Rheinmetall AG,MDAX,high
DE0007037129,0.2921397020921097,0.3639799158945418,0.0,0.24843676499692013,0.6861449062960382,0.02136753833395091,0.1181562720926922,2.377517979212065,1.0,0.0,7.974547858998028,910.547619047619,990.0,0.0,625.0,625.0,0.0,61.92857142857143,2905.1,0.0,378.525,3158.5,5.0,1.0,0,16,2006,2021,RWE,RWE AG,DAX,high
DE0007042301,0.21363910681955342,0.0,0.7717996289424861,0.0,0.7794273594909862,0.00697786333012512,0.1248038624019312,3.643502824858757,0.0,1.0,6.943725522771368,241.66666666666666,0.0,718.8571428571429,0.0,0.0,0.0,7.222222222222222,1035.625,0.0,127.77777777777777,1279.0,6.0,0.0,1,11,2006,2016,Rhön-Klinikum,Rhön-Klinikum AG,MDAX,high
