isin,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_variable,ratio_other,ratio_pension,vpi,ratio_stock_in_equity,ratio_option_in_equity,log_tc_pe,salary_bt_pe,one_year_bonus_bt_pe,multi_year_bonus_bt_pe,total_equity_grants_bt_pe,stock_grants_bt_pe,option_grants_bt_pe,other_annual_bt_pe,total_comp_bt_pe,one_time_payment_bt_pe,pension_bt_pe,total_comp_pens_and_one_time_bt_pe,n_executives_median,index_score,ever_opted_out,year_count,year_min,year_max,company_shortname,company_name,sector,index_listing_last,data_confidence
DE0006062144,0.2117935791987264,0.4363165361129957,0.0,0.2753382860175112,0.7428775948460988,0.0201068407775634,0.1329268292682927,3.6861885374256183,1.0,0.0,8.122816380293493,692.75,1470.25,0.0,837.25,837.25,0.0,57.5,3369.5,0.0,337.75,3913.25,4.0,0.5,0,7,2015,2021,Covestro,Covestro AG,Materials,DAX,medium
DE0006231004,0.4697238942478156,0.2022450789415387,0.1746493644210209,0.0924768699685945,0.5052617412881353,0.0220236846789803,0.1160963389955948,1.0808495091164096,1.0,0.0,7.475260135032604,793.8193333333334,345.093125,285.6003333333333,180.39429166666667,40.8391,0.0,34.96966666666667,1762.8628333333331,0.0,207.16000000000005,1877.5253333333333,4.0,1.0,0,16,2006,2021,Infineon,Infineon Technologies AG,Information Technology,DAX,high
DE0006483001,0.2541729644537842,0.3354372153454916,0.0,0.4239570150277114,0.7261521869810219,0.0111365768597362,0.1128287713259707,2.85641366807974,0.5405854011958213,0.4594145988041788,8.117485672563776,747.0636,1124.7487999999998,0.0,930.8244857142856,503.96578571428574,579.6359875,37.87315,3351.60975,0.0,280.85794285714286,3378.659,5.0,1.0,0,14,2006,2021,Linde,Linde plc,Industrials,DAX,high
DE0006599905,0.2216706778981147,0.0,0.5331134130399275,0.2212991335130786,0.7694676959420625,0.0101197025292067,0.1247338362043457,3.498775510204082,1.0,0.0,7.915938567492538,930.25,0.0,1865.0,1092.8125,1092.8125,0.0,24.2,2740.116785714285,0.0,473.5833333333333,3466.791666666667,6.0,1.0,1,16,2006,2021,Merck,Merck KGaA,Health Care,DAX,high
DE0007037129,0.2921397020921097,0.3639799158945418,0.0,0.2484367649969201,0.6861449062960382,0.0213675383339509,0.1181562720926922,2.377517979212065,1.0,0.0,7.974547858998028,910.547619047619,990.0,0.0,625.0,625.0,0.0,61.92857142857143,2905.1,0.0,378.525,3158.5,5.0,1.0,0,16,2006,2021,RWE,RWE AG,Utilities,DAX,high
DE0007100000,0.234887431659943,0.2087915063545704,0.1580555193053663,0.3457728585601091,0.7153973618058471,0.0512404591965,0.0858507852015443,3.1401259811125697,1.0,0.0,8.170311496460602,806.625,805.3194444444445,545.4375,1276.4375,1276.4375,0.0,177.75,3535.818888888889,0.0,290.875,3870.625,8.0,1.0,0,16,2006,2021,Daimler,Daimler AG,Consumer Discretionary,DAX,high
DE0007164600,0.1514026320898177,0.2952975810945064,0.0,0.3607041648443566,0.8065168060665544,0.0309687772338876,0.0396835555373382,5.249245305775852,1.0,0.0,8.349435912461956,674.0479166666667,1066.6325396825396,0.0,1675.4071428571428,1675.4071428571428,0.0,127.12777777777778,4231.920833333334,129.5808125,158.03333333333336,4943.216547619048,8.0,1.0,0,16,2006,2021,SAP,SAP SE,Information Technology,DAX,high
DE0007236101,0.2765123118446582,0.3108785730717154,0.0,0.3218696630724084,0.6921469177419173,0.0305917360062606,0.1615732400274037,2.505351678900841,1.0,0.0,8.169203877228409,960.7038636363636,1038.221888888889,0.0,1234.2232142857142,1234.2232142857142,0.0,104.66261111111112,3530.01875,52.77777777777778,629.0,4628.715277777777,9.0,1.0,0,16,2006,2021,Siemens,Siemens AG,Industrials,DAX,high
DE0007472060,0.437526697992311,0.1672362238359675,0.2505339598462195,0.0,0.4177701836821871,0.1447031183255019,0.1321016659547202,0.9548450085428364,0.0,0.0,7.758760544157663,1024.25,391.5,586.5,0.0,0.0,0.0,338.75,2341.0,36.25,309.25,2686.5,4.0,0.5,0,3,2017,2019,Wirecard,Wirecard AG,Information Technology,DAX,low
DE0007664005,0.2339894067618258,0.1897181122845967,0.1761922525056267,0.0285029809203975,0.7359609873314799,0.0121812195200082,0.1991871550162678,3.155146446197858,1.0,0.0,8.470796930351128,1106.3909777777776,957.6032777777776,875.3888888888889,66.597975,0.0,0.0,57.18320833333333,4776.185416666667,0.0,929.1088833333332,6296.539333333333,9.0,1.0,0,16,2006,2021,Volkswagen,Volkswagen AG,Consumer Discretionary,DAX,high
DE0008404005,0.2736881136226674,0.2682621418323368,0.0716095757215435,0.3083652592974916,0.7193301075229402,0.0084703287411191,0.1355387766278576,2.629859090049329,1.0,0.0,8.067543230203752,763.1818181818182,933.1055555555556,176.73863636363637,950.1863636363636,910.6055555555556,0.0,29.30454545454545,3188.973484848485,94.79166666666669,385.175,3711.522727272727,11.0,1.0,0,16,2006,2021,Allianz,Allianz SE,Financials,DAX,high
DE0008430026,0.3066152424891438,0.1353357790495948,0.2942309767200306,0.216516305146876,0.6771346065428341,0.0187637236247222,0.2217323152923287,2.208594201027952,1.0,0.0,7.7011889827238305,662.4614318181818,308.3616388888889,634.761109090909,472.6563055555556,386.3131313131313,0.0,39.01886805555556,2210.6143888888887,0.0,490.61935,2700.11,9.0,1.0,0,16,2006,2021,Munich RE,Munich RE AG,Financials,DAX,high
DE000A1EWWW0,0.3126753178151082,0.2595309635394102,0.273664743885487,0.0,0.6652840372179667,0.0111980401467518,0.1383208816105398,2.129344369622148,1.0,0.0,7.813429992646887,783.3589166666666,841.3007083333333,656.7,0.0,0.0,0.0,25.125,2474.724166666667,0.0,360.01905,2869.0116666666663,5.0,1.0,0,16,2006,2021,Adidas,Adidas AG,Consumer Discretionary,DAX,high
DE000A1ML7J1,0.3062551842773779,0.214281560252379,0.0,0.4528427225632969,0.6683602837565584,0.0123259401568215,0.1608555059466002,2.2015409152882466,1.0,0.0,7.632839015210365,642.6666666666666,488.8375,0.0,814.4812,814.4812,0.0,26.638600000000004,2063.904,0.0,256.7315,2450.394,4.0,1.0,1,11,2011,2021,Vonovia,Vonovia SE,Real Estate,DAX,high
DE000A2E4K43,0.1633617331423257,0.0,0.0,0.830355123275277,0.830355123275277,0.0109978233474624,0.0,5.082923076923077,0.0,1.0,7.596116022808122,311.0,0.0,0.0,1651.95,0.0,1651.95,12.5,1989.45,0.0,0.0,1989.45,2.0,0.25,0,5,2017,2021,Delivery Hero,Delivery Hero SE,Consumer Discretionary,DAX,low
DE000BASF111,0.2420223498835892,0.0473481414324569,0.3311496825389231,0.1924009848021623,0.6607839475425623,0.0956015257968436,0.1580580244169324,2.660166557242947,0.0,1.0,8.027363007796353,681.1666666666667,174.08333333333334,932.8472222222222,490.77777777777777,0.0,469.8492063492064,283.1625,3062.655555555556,0.0,483.83333333333337,3517.0944444444444,8.5,1.0,0,16,2006,2021,BASF,BASF SE,Materials,DAX,high
DE000BAY0017,0.2576053384539378,0.3306042784460997,0.0,0.3667700116649623,0.694791740116532,0.0315660244430558,0.1409569251834103,2.7102224054605006,1.0,0.0,7.919869355331697,769.775,970.0571428571428,0.0,1037.0,1037.0,0.0,81.4,2750.675,0.0,481.125,3249.95,5.0,1.0,0,16,2006,2021,Bayer,Bayer AG,Health Care,DAX,high
DE000ENAG999,0.2681223885573683,0.3655832705563436,0.0,0.2968476007653297,0.713714393616053,0.0141105949338359,0.1441283501182226,2.645834996769227,1.0,0.0,7.949878363421799,742.6110833333332,1056.6349206349207,0.0,764.9874365079365,764.9874365079365,0.0,41.2979,2834.2496666666666,0.0,389.9699777777778,3409.151746031746,6.0,1.0,0,16,2006,2021,E.ON,E.ON SE,Utilities,DAX,high
