total_comp_bt,year_centered,log_n_exec,is_dax,sector,company_shortname,year,log_comp,log_comp_lag1,sector_Auto,sector_Banking,sector_Chemicals,sector_Consumer,sector_Energy,sector_Industrials,sector_Insurance,sector_Logistics,sector_Media,sector_Pharma,sector_Real Estate,sector_Tech,sector_Telecom,log_comp_pred,log_comp_resid,resid_std,pred_comp,pred_comp_low,pred_comp_high,actual_vs_expected_pct,benchmark_signal
37836.0,-2,2.302585092994046,1,Insurance,Allianz,2010,10.541016309333061,10.337378134827997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.218502817695791,0.3225134916372703,0.26831370093916534,27405.604566876227,19439.47906317615,38636.17740141606,38.059351720087456,🟡 Above Market
26715.0,-1,2.302585092994046,1,Insurance,Allianz,2011,10.192980484391871,10.541016309333061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.357289716287676,-0.16430923189580504,0.26831370093916534,31485.73031453169,22333.614051263186,44388.30236628671,-15.152039564824207,🟡 Below Market
39079.0,0,2.4849066497880004,1,Insurance,Allianz,2012,10.57334051729299,10.192980484391871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.241315737038745,0.33202478025424575,0.26831370093916534,28037.992292642633,19888.04745453738,39527.71198878728,39.37873864903874,🟡 Above Market
41664.0,1,2.3978952727983707,1,Insurance,Allianz,2013,10.63739272556824,10.57334051729299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44948276708812,0.1879099584801196,0.26831370093916534,34526.511841787564,24490.51625316637,48675.16909967029,20.672485511768112,🟡 Above Market
30228.0,2,2.3978952727983707,1,Insurance,Allianz,2014,10.31652392614061,10.63739272556824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.504088448268325,-0.18756452212771535,0.26831370093916534,36464.28065657026,25865.024018989312,51407.01832810751,-17.10243708166114,🟡 Below Market
56815.0,3,2.3978952727983707,1,Insurance,Allianz,2015,10.94755565435211,10.31652392614061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.326556759833522,0.6209988945185874,0.26831370093916534,30532.798938706543,21657.67605165466,43044.86819398403,86.07858425968087,🔴 Significantly Overpaid
25504.0,4,2.302585092994046,1,Insurance,Allianz,2016,10.146590581589942,10.94755565435211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.682350664091285,-0.5357600825013424,0.26831370093916534,43579.871682917634,30912.29026123774,61438.51522645224,-41.47756976990592,🔵 Significantly Underpaid
24072.0,5,2.1972245773362196,1,Insurance,Allianz,2017,10.088804618309881,10.146590581589942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17024241524047,-0.08143779693058839,0.26831370093916534,26114.40652691794,18523.600079264936,36815.85789667925,-7.820995375915168,🟢 In Line
26929.0,6,2.302585092994046,1,Insurance,Allianz,2018,10.200959051807608,10.088804618309881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.196411269878968,0.004547781928639694,0.26831370093916534,26806.810835876106,19014.739730441015,37792.00332887111,0.4558138783162008,🟢 In Line
39107.0,7,2.302585092994046,1,Insurance,Allianz,2019,10.574056758082826,10.200959051807608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.280026342109077,0.294030415973749,0.26831370093916534,29144.641274747297,20673.02118738873,41087.855874296394,34.18247159516319,🟡 Above Market
34335.0,8,2.3978952727983707,1,Insurance,Allianz,2020,10.443920521054777,10.574056758082826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.561755166209252,-0.11783464515447584,0.26831370093916534,38628.86856507462,27400.420226910694,54458.63509612493,-11.115698503675096,🟢 In Line
